Customer,8/4/2023,7/28/2023,7/21/2023,7/14/2023,7/7/2023,7/4/2023,7/5/2023
Total sales,8256,11886.1,9040.3,9805.5,10236.2,10236.2,10236.2
Ajwa Grocery & Halal Meat,635,505,606.5,633,727.5,727.5,727.5
Alive Herbal,63,,,,23,23,23
Ambalvi,132,49,,,,,
Apna Wholesale,401,,,256,,,
Asia Grocery - Brooklyn,224,301,169,263,234,234,234
Asian Bok Choi Inc.,104,,,,,,
Best Cash & Carry,655,,,,,,
Bismillah-Flatbush Ave,337.5,383.5,367.5,335.5,257,257,257
Bismillah Halal Meat & Food - Brooklyn.,417.5,,480,405,364.5,364.5,364.5
Cash,136,500,248,143,359,359,359
Eastern Fruit - ll Neptune Ave,1323.5,,1420.5,1074.5,1241,1241,1241
MNS Produce,56,339,459,455.5,348,348,348
Mughlai Indian Couisine,140,1091.65,,,,,
New Asian Super Market - Brooklyn,276,276,607.3,,,,
Organic Spices,480,297,227,214,302.5,302.5,302.5
Pavanbhai,309,444.5,483,488.5,599.5,599.5,599.5
Pavanbhai C/o New Green Bazaar,743,390.5,351.5,427,523,523,523
Queens Valley,200,366,164,,142,142,142
Rahim Grocery,343,365,333.5,416,299,299,299
Rajput Foods Quality,261.5,514.5,267.5,433,217,217,217
Sugrim 1,65,,,,,,
Syad Super Mart,122,,122,,,,
Triboro Wholesale,434,325,,,,,
Zaitoon Halal Super Store - Brooklyn.,398,,449,,435,435,435
Apna Sona Bazaar 2,,,,738.5,,,
Desi Bazaar & Halal Meat -Jamaica,,,,151,,,
Divine Botancia,,274,315,75,,,
Island Fresh Supermarket - Haat Bazaar,,,,84,,,
Ittadi Bazaar-Jackson Heights,,,165,101,640,640,640
Lalabhai,,,,2980,2216,2216,2216
Mannan  Supermarket - Ozone Park,,385,557,132,,,
Asia Foods,,72,,,,,
Eastern Fruit - Coney Island,,1748.5,,,,,
Floral Terrace - Floral Park,,557,,,,,
Happy Farm - Hillside,,303,,,,,
Hasan Grocery Brooklyn,,184.5,,,,,
Hasnat Grocery & Halal Meat,,458,,,567,567,567
Jain Center of  America,,174,,,,,
Kawran Bazar Supermarket,,64,,,,,
New Apna Sona bazaar Cash & Carry,,701.75,,,,,
New Darshan International Grocery,,746.7,,,,,
New Grand Supermarket,,20,,,,,
Saraswathi,,50,,,,,
75 th Street Super Market,,,264,,,,
786 Punjab Halal Meal & Grocery,,,393,,,,
Asia Supply,,,90,,,,
Bhavik Grocery,,,98,,,,
LIE Deli -Rego park,,,75,,,,
Little India,,,88,,,,
Metro Mini Market,,,212,,,,
Rakeshbhai C/O Pavanbhai.,,,28,,,,
Bismillah Halal Meat & Grocery - JAmaica,,,,,28,28,28
Hannan Deli & Grocery - Brooklyn.,,,,,300,300,300
Peaceful Day Care,,,,,279.2,279.2,279.2
Suzie West Indian Grocery,,,,,134,134,134
